"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"14","1426","DARWAZE-E PAYAN NUSAY","درواز پايان نسی","1426","DARWAZE-E PAYAN NUSAY","درواز پايان نسی","NO"
"14","1427","DARWAZE BALA MAMAI","دروازۀ بالا مامی","1427","DARWAZE BALA MAMAI","دروازۀ بالا مامی","NO"
"14","1428","SHEIKE","شکی","1428","SHEIKE","شکی","NO"
"15","1501","TALOQAN - CENTER OF TALOQAN","مرکزتخار- تالقان","1501","TALOQAN - CENTER OF TALOQAN","مرکزتخار- تالقان","YES"
"15","1502","HAZAR SOMOCH","ھزارسموچ","1502","HAZAR SOMOCH","ھزارسموچ","NO"
"15","1503","BAHARAK","بھارک","1503","BAHARAK","بھارک","NO"
"15","1504","KHWAJA GHAR","خواجه غار","1504","KHWAJA GHAR","خواجه غار","NO"
"15","1505","BANGI","بنگی","1505","BANGI","بنگی","NO"
"15","1506","ESHKAMESH","اشکمش","1506","ESHKAMESH","اشکمش","NO"
"15","1507","CHAAL","چال","1507","CHAAL","چال","NO"
"15","1508","NAMAK  AAB","نمک آب","1508","NAMAK  AAB","نمک آب","NO"
"15","1508","NAMAK  AAB","نمك آب","1508","NAMAK  AAB","نمك آب","NO"
"15","1509","FARKHAR","فرخار","1509","FARKHAR","فرخار","NO"
"15","1510","KALAFGAN","کلفگان","1510","KALAFGAN","کلفگان","NO"
"15","1511","RUSTAQ","رستاق","1511","RUSTAQ","رستاق","NO"
"15","1512","CHAH AAB","چاه آب","1512","CHAH AAB","چاه آب","NO"
"15","1513","YANGI QALA","ينگی قلعه","1513","YANGI QALA","ينگی قلعه","NO"
"15","1514","KHWAJA BAHAWODDIN","خواجه بھاوالدين","1514","KHWAJA BAHAWODDIN","خواجه بھاوالدين","NO"
"15","1515","DARQAD","درقد","1515","DARQAD","درقد","NO"
"15","1516","DASHTE QALA","دشت قلعه","1516","DASHTE QALA","دشت قلعه","NO"
"15","1517","WARSAJ","ورسج","1517","WARSAJ","ورسج","NO"
"16","1601"," PUL‐I‐KHUMRI","مرکزبغلان ‐ پلخمری","1601"," PUL‐I‐KHUMRI","مرکزبغلان ‐ پلخمری","YES"
"16","1602","BAGHLAN JADEED","بغلان جيد","1602","BAGHLAN JADEED","بغلان جيد","NO"
"16","1603","DHANA‐I‐GHORI","دھنه غوری","1603","DHANA‐I‐GHORI","دھنه غوری","NO"
"16","1604","DOOSHI","دوشی","1604","DOOSHI","دوشی","NO"
"16","1605","KHENJAN","خنجان","1605","KHENJAN","خنجان","NO"
"16","1606","BANO ANDARAB","اندراب","1606","BANO ANDARAB","اندراب","NO"
"16","1607","NAHREEN","نھرين","1607","NAHREEN","نھرين","NO"
"16","1608","BORKA","برکه","1608","BORKA","برکه","NO"
