"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","prelim_results_reporting","final_results_reporting","ps_planned_count","ps_prelim_reporting_count","ps_final_reporting_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101088","part(A)khoshal mina,8class khosha mina","قسمت الف خوشحال مينه, مکتب ھشت صنفي خوشحال مينه","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101089","part(B)khoshal mina,nahid shaheed high school","قسمت ب خوشحال مينه, ليسه ناھيد شھيد","YES","YES",10,10,10,6,4,0,5800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101090","SpeenKali School located in Speen Kali Square","مکتب سپين کلی، چاراھی سپين کلی","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101091","part(B)khoshal mina,deh now deh boori","قسمت ب خوشحال مينه, مکتب ده نو ده بوري","YES","YES",5,5,5,3,2,0,2900,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101092","AbuZar Ghafari High School located in Qambar Square","ليسه ابوذر غفاری، چاراھی قمبر","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101093","saray herati,wadaki haa masque","سراي ھراتيھا, مسجد وردکيھا","NO","NO",3,NA,NA,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101094","sapin kalai,sapin kalai high school","شپين کلي, ليسه سپين کلي","YES","YES",10,10,10,7,3,0,5700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101095","charqala,charqala high school","چھار قلعه, ليسه چھار قلعه","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101096","talgaraph,imam hasan mujtabaa masque","تلگراف, مسجد امام حسن مجتبي","YES","YES",5,5,5,3,2,0,2900,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101097","qala nazar,khatimalanbia islamic school","قلعه ناظر, مدرسه خاتم الانبيا","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101098","qala nazar,muhammad asaf mayal high school","قلعه ناظر, ليسه محمد آصف مايل","YES","YES",10,10,10,6,4,0,5700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101099","Masjid Ali Anaqi.","مسجد علی انقی","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101100","deh qabal,gulkhana sacandary school","ده قابل, مکتب متوسطه گلخانه","YES","YES",12,12,12,8,4,0,6700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101101","dash haay haaji hasan,ahmadi masque","داش ھاي حاجي حاجي حسين, مسجد احمدي","YES","YES",4,4,4,3,1,0,2400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101102","qala muhammad hayat,muhammad hayat masque","قلعه محمد حيات, مسجد محمد حيات","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101103","qala abasqali,salman farsi masque","قلعه عباس قلي, مسجد سلمان فارسي","YES","YES",6,6,6,4,2,0,3400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES","0101104","afshar darlaman,qala bakhtiar sacandary school","افسار دارالامان, مکتب متوسطه قلعه بختيار","YES","YES",15,15,15,10,5,0,8700,NA
