"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open","commission_decision"
"09","0910207","0910207-09","F","NO","NO",NA,NA,NA
"09","0910207","0910207-10","F","NO","NO",NA,NA,NA
"09","0910208","0910208-01","M","NO","NO",NA,NA,NA
"09","0910208","0910208-02","M","NO","NO",NA,NA,NA
"09","0910208","0910208-03","M","NO","NO",NA,NA,NA
"09","0910208","0910208-04","M","NO","NO",NA,NA,NA
"09","0910208","0910208-05","M","NO","NO",NA,NA,NA
"09","0910208","0910208-06","M","NO","NO",NA,NA,NA
"09","0910208","0910208-07","F","NO","NO",NA,NA,NA
"09","0910208","0910208-08","F","NO","NO",NA,NA,NA
"09","0910208","0910208-09","F","NO","NO",NA,NA,NA
"09","0910208","0910208-10","F","NO","NO",NA,NA,NA
"09","0910208","0910208-11","F","NO","NO",NA,NA,NA
"09","0910209","0910209-01","M","NO","NO",NA,NA,NA
"09","0910209","0910209-02","M","NO","NO",NA,NA,NA
"09","0910209","0910209-03","F","NO","NO",NA,NA,NA
"09","0910209","0910209-04","F","NO","NO",NA,NA,NA
"09","0910210","0910210-01","M","NO","NO",NA,NA,NA
"09","0910210","0910210-02","M","NO","NO",NA,NA,NA
"09","0910210","0910210-03","F","NO","NO",NA,NA,NA
"09","0910212","0910212-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0910212","0910212-04","F","YES","NO","NO",NA,"ECC"
"09","0911223","0911223-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911223","0911223-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911224","0911224-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911224","0911224-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911224","0911224-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911227","0911227-01","M","NO","NO",NA,NA,NA
"09","0911227","0911227-02","M","NO","NO",NA,NA,NA
"09","0911227","0911227-03","F","NO","NO",NA,NA,NA
"09","0911227","0911227-04","F","NO","NO",NA,NA,NA
"09","0911228","0911228-01","M","NO","NO",NA,NA,NA
"09","0911228","0911228-02","M","NO","NO",NA,NA,NA
"09","0911228","0911228-03","M","NO","NO",NA,NA,NA
"09","0911228","0911228-04","F","NO","NO",NA,NA,NA
"09","0911228","0911228-05","F","NO","NO",NA,NA,NA
"09","0911228","0911228-06","F","NO","NO",NA,NA,NA
"09","0911228","0911228-07","F","NO","NO",NA,NA,NA
"09","0911232","0911232-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911232","0911232-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911232","0911232-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911233","0911233-01","M","NO","NO",NA,NA,NA
"09","0911233","0911233-02","M","NO","NO",NA,NA,NA
"09","0911233","0911233-03","M","NO","NO",NA,NA,NA
"09","0911233","0911233-04","F","NO","NO",NA,NA,NA
"09","0911233","0911233-05","F","NO","NO",NA,NA,NA
"09","0911234","0911234-11","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911235","0911235-13","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911235","0911235-14","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911236","0911236-07","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911236","0911236-08","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911237","0911237-10","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0911237","0911237-11","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912241","0912241-02","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912243","0912243-02","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912243","0912243-03","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912243","0912243-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912243","0912243-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912245","0912245-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0912247","0912247-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913250","0913250-09","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913250","0913250-10","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0913250","0913250-11","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913250","0913250-12","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913256","0913256-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913258","0913258-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913259","0913259-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0913261","0913261-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913264","0913264-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913264","0913264-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913265","0913265-10","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913268","0913268-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913268","0913268-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913269","0913269-01","M","NO","NO",NA,NA,NA
"09","0913269","0913269-02","M","NO","NO",NA,NA,NA
"09","0913269","0913269-03","M","NO","NO",NA,NA,NA
"09","0913269","0913269-04","M","NO","NO",NA,NA,NA
"09","0913269","0913269-05","M","NO","NO",NA,NA,NA
"09","0913269","0913269-06","F","NO","NO",NA,NA,NA
"09","0913269","0913269-07","F","NO","NO",NA,NA,NA
"09","0913270","0913270-07","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0913270","0913270-08","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0914272","0914272-01","M","NO","NO",NA,NA,NA
"09","0914272","0914272-02","M","NO","NO",NA,NA,NA
