"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"0402016","0402","Durani High School","لیسه عالی درانی","Relocated","YES","0402",NA
"0402018","0402","Masjid Kalan Hajian Mosque","مسجد کلان حاجیان","Old","YES","0402",NA
"0402020","0402","Speen Masjid Mosque","سپین مسجد","Relocated","YES","0402",NA
"0404045","0404","Panah Bazzar Mosque","مسجد بازار پنه","Relocated","YES","0404",NA
"0404046","0404","Omer Farouq High School","لیسه عالی عمر فاروق","Relocated","YES","0404",NA
"0404048","0404","Zaman Khil Village Mosque","مسجد قریه زمانخیل","Relocated","YES","0404",NA
"0404056","0404","Char Qalla Sahib Primary School","مکتب ابتدائیه صاحب چارقلعه","Not Assessed","NO","0404",NA
"0405066","0405","Sendawar Agriculture High School","دسنداور دزراعت لیسه","Relocated","NO","0405",NA
"0405071","0405","Khalid Bin Waleed High School","لیسه خالد بن ولید","Relocated","YES","0405",NA
"0405072","0405","Larram Mosque","مسجد لرم","Relocated","NO","0405",NA
"0405076","0405","Shater Mosque","مسجد شاتر","Relocated","YES","0405",NA
"0405077","0405","Qalla e Amir Mosque","مسجد قلعه امیر","Relocated","NO","0405",NA
"0405082","0405","Si Si village Mosque","مسجد قریه سی سی","Old","YES","0405",NA
"0407106","0407","Gardan Dewar High School","لیسه گردن دیوار","Relocated","YES","0407",NA
"0407110","0407","Dahan Aabdarah Primary School","مکتب ابتدایه دهن آبدره","Relocated","YES","0407",NA
"0407111","0407","Syah Botah School","مکتب جدید سیا بوته","Relocated","YES","0407",NA
"0408121","0408","Private house of Rahmatullah","خانه شخصی رحمت الله","Not Assessed","NO","0408",NA
"0409123","0409","Band Botah School","مکتب بند بته","Relocated","YES","0409",NA
"0409124","0409","Tagab Beermak School","مکتب تگاب بیرمک","Relocated","YES","0409",NA
"0409125","0409","Kamarak School","مکتب کمرگ","Relocated","YES","0409",NA
"0409128","0409","Babakah School","مکتب بابکه","Relocated","YES","0409",NA
"0409130","0409","Kujab Ulya School","مکتب کجاب علیا","New","YES","0409",NA
"0409132","0409","Imam Mohammad Baqer Darul Uloom","دارالعلوم امام محمدباقر","Old","YES","0409",NA
"0409134","0409","Sar Taalah School","مکتب سرتاله","Relocated","YES","0409",NA
"0409137","0409","Husainia Umoomi Safid Dewar","حسینیه عمومی سفید دیوار","New","YES","0409",NA
"0409139","0409","Daman Khalil School","مکتب دامن خلیل","Relocated","YES","0409",NA
"0409141","0409","Raqul Boys High School","لیسه ذکور راقل","Relocated","YES","0409",NA
"0409144","0409","Peetab Ramoz High School","لیسه  پیتاب راموز","New","YES","0409",NA
"0409147","0409","Jawad Jaria Khanah School","مکتب جواد جریه خانه","Relocated","YES","0409",NA
"0409149","0409","Ghawas School","مکتب غواص","Relocated","YES","0409",NA
"0409150","0409","Dahan Sangeenak School","مکتب دهن سنگینک","New","YES","0409",NA
"0409152","0409","Mahar Khanah School","مکتب مهر خانه","Relocated","YES","0409",NA
"0409155","0409","Surkh Abad School","مکتب سرخ آباد","Relocated","YES","0409",NA
